"motif_id","motif_name","ic_score"
"MA0913.3","HOXD9",12.4366323995262
"MA1508.2","IKZF1",10.9245348478138
"MA0051.2","IRF2",11.4681951896206
"MA1418.2","IRF3",23.1758682470605
"MA1419.2","IRF4",22.94400312787
"MA0772.2","IRF7",17.2547935514417
"MA0652.2","IRF8",22.3213427919537
"MA0654.2","ISX",10.2735945000118
"MA0656.2","JDP2",17.1484687635396
"MA1132.2","JUN::JUNB",9.23515829309208
"MA1133.2","JUN::JUNB",10.9167798468415
"MA0493.3","KLF1",12.7858197783526
"MA1512.2","KLF11",13.1163348691033
"MA0657.2","KLF13",20.1556814406472
"MA1513.2","KLF15",13.621901522179
"MA1514.2","KLF17",16.3822639689345
"MA1515.2","KLF2",9.67702060054813
"MA1516.2","KLF3",14.0852514845375
"MA0039.5","KLF4",10.7988142134128
"MA1517.2","KLF6",11.1053465740102
"MA1959.2","KLF7",12.346188848151
"MA1107.3","KLF9",13.4017880692137
"MA0618.2","LBX1",9.82867646137221
"MA0700.3","LHX2",10.0484003644397
"MA1519.2","LHX5",10.953214412218
"MA0658.2","LHX6",10.5323192813071
"MA0701.3","LHX9",10.8381566870076
"MA0702.3","LMX1A",12.2333612382993
"MA0703.3","LMX1B",13.4447160924471
"MA1520.2","MAF",12.4620521111943
"MA0501.2","MAF::NFE2",16.5461678546226
"MA0841.2","NFE2",16.6289285692173
"MA1521.2","MAFA",12.1972371813732
"MA0495.4","MAFF",12.7671512466511
"MA0089.3","MAFG::NFE2L1",17.0944564648214
"MA0059.2","MAX::MYC",9.81082448364073
"MA0147.4","MYC",10.9571522124953
"MA1522.2","MAZ",13.6290723455541
"MA0052.5","MEF2A",11.8401982960044
"MA0497.2","MEF2C",13.2879652589088
"MA1639.2","MEIS1",11.6827756436935
"MA1640.2","MEIS2",11.4571359060497
"MA0775.2","MEIS3",8.83985560462033
"MA0661.2","MEOX1",9.3444348988704
"MA1960.2","MGA::EVX1",13.7933651106238
"MA0620.4","MITF",12.7221181253235
"MA0664.2","MLXIPL",11.8710620895105
"MA0825.2","MNT",10.5836868041559
"MA0707.3","MNX1",9.00272300794655
"MA1523.2","MSANTD3",8.28514514556489
"MA0666.3","MSX1",9.99817607912978
