gene	log2FC	pvalue	adj_pvalue	significant
ANKRD29	-4.76954084298049	3.24504595047081e-08	0.000120358754302962	TRUE
ST6GAL1	-5.01722489868621	3.41464635846216e-08	0.000126649233435361	TRUE
HS3ST4	-7.60375930757386	3.47842595221345e-08	0.000129014818567597	TRUE
CCDC26	-4.00565182022373	3.62618318255199e-08	0.000134495134240853	TRUE
DGKH	-4.26049456176416	3.88607419548716e-08	0.000144134491910619	TRUE
ENSG00000259363	-1.00680973789025	4.31999360053741e-08	0.000160228562643933	TRUE
PALMD	6.52007395127119	4.69200164523145e-08	0.000174026341021635	TRUE
LINC01151	3.84198999301085	4.95706481029795e-08	0.000183857533813951	TRUE
ABCA9	1.04718453117765	5.43141089073957e-08	0.000201451029937531	TRUE
C2orf27A	-4.27045499821938	5.81574594353885e-08	0.000215706017045856	TRUE
CD96	-2.88665092598552	5.84228462601207e-08	0.000216690336778788	TRUE
P3H2	-4.77899112530617	5.89571448376503e-08	0.000218672050202845	TRUE
CTSS	-4.12072847830015	5.9767480486263e-08	0.00022167758512355	TRUE
ANKRD33B	-4.48746513872126	7.06930391746927e-08	0.000262200482298935	TRUE
CPNE4	-1.39260242520232	7.10136666890339e-08	0.000263389689749627	TRUE
SLIT1	-2.53781268637397	8.20509712091435e-08	0.000304327052214713	TRUE
DENND3	-1.82722483543434	8.54433726484886e-08	0.000316909469153244	TRUE
HERC6	4.57906190546281	8.77800049943213e-08	0.000325576038523938	TRUE
DCN	3.83417376533057	8.81754114172997e-08	0.000327042600946765	TRUE
ERG	-1.19236737023296	1.05015595474942e-07	0.000389502843616558	TRUE
SV2C	2.02760115679414	1.08351046541126e-07	0.000401874031621038	TRUE
ATF7IP2	-1.40076271301451	1.11788919640376e-07	0.000414625102946154	TRUE
SLC39A13-AS1	-2.21181871131117	1.15332244990529e-07	0.000427767296669873	TRUE
RGS2	4.11462986376075	1.18984138815749e-07	0.000441312170867613	TRUE
CD58	-11.2473433032162	1.20047924405074e-07	0.000445257751618421	TRUE
GRK5	-6.00821681540286	1.35341475232259e-07	0.000501981531636447	TRUE
TRPC6	-1.56601159120296	1.38373318829378e-07	0.000513226639538163	TRUE
IFNGR2	-1.81917928935567	1.38373318829378e-07	0.000513226639538163	TRUE
WNT2B	-1.36055680113887	1.42098306428727e-07	0.000527042618544149	TRUE
CTSB	-5.12023521530918	1.42728494170892e-07	0.00052937998487984	TRUE
UGCG	-1.00412354768778	1.60802745603042e-07	0.000596417383441682	TRUE
FBXO34	-2.67620772157574	1.61512983388312e-07	0.00059905165538725	TRUE
RUNX2	-3.37499108157609	1.66570271806916e-07	0.000617809138131852	TRUE
TBC1D30	1.21971289692888	2.02931973710771e-07	0.000752674690493249	TRUE
TBC1D9	-4.32518708501379	2.33338953539133e-07	0.000865454178676643	TRUE
RNASET2	-4.72491026800127	2.37436123352855e-07	0.000880650581515741	TRUE
ENSG00000282564	-2.40235928136616	2.44773997732774e-07	0.00090786675759086	TRUE
SOAT1	-1.44051507172916	2.75183947215252e-07	0.00102065726022137	TRUE
KCNK6	-2.71334903063236	2.92357289626565e-07	0.00108435318722493	TRUE
TRPC5	-1.65748055216141	3.05252826794279e-07	0.00113218273457998	TRUE
PLA2G4A	-1.57265136572744	3.38482328345355e-07	0.00125543095583292	TRUE
ENSG00000228113	-3.28758815215217	3.50315338465262e-07	0.00129931959036766	TRUE
TBC1D8	-1.70218895808793	3.60995930727457e-07	0.00133893390706814	TRUE
GNB4	1.37077629050013	3.65668926056016e-07	0.00135626604674176	TRUE
ENSG00000287923	-1.25696271602329	3.70400276721102e-07	0.00137381462635857	TRUE
ST3GAL1	-7.01389921300613	4.15726648239756e-07	0.00154193013832125	TRUE
CARD18	-6.60324189790483	4.31991293902228e-07	0.00160225570908336	TRUE
ENSG00000286751	-2.47442895121316	4.46962730377983e-07	0.00165778476697194	TRUE
HGF	-2.46336205152935	4.54634925987605e-07	0.00168624094048803	TRUE
ENSG00000258168	-2.73960918795759	4.56572733709665e-07	0.00169342826932915	TRUE
ENSG00000249988	-5.76034817297477	4.64403939975587e-07	0.00172247421336945	TRUE
CCNT2-AS1	-2.81069165858659	4.78421355305215e-07	0.00177446480682704	TRUE
FAM153CP	-3.08976501795135	5.38682635451274e-07	0.00199797389488877	TRUE
LIMK2	-5.10700866737061	5.43256347662608e-07	0.00201493779348061	TRUE
LINC02112	-3.02487895252294	5.69088775112184e-07	0.00211075026689109	TRUE
PPP1R42	2.19326499713242	6.03682967363818e-07	0.0022390601259524	TRUE
ENSG00000246225	2.84054334715577	6.2173161049756e-07	0.00230600254333545	TRUE
